ticker,transaction_date,num_buy_transactions,total_shares_bought,total_value_bought,has_officer_buy,has_director_buy,has_ten_pct_owner_buy,avg_transaction_value
REFI,2025-10-16,5,46150.0,579929.5,1,1,0,115985.9
RGP,2025-10-15,1,23015.0,100345.40000000001,1,1,0,100345.40000000001
RGP,2025-11-12,2,200000.0,904199.9999999999,0,1,0,452099.99999999994
RNST,2025-11-11,1,2000.0,69580.0,0,1,0,69580.0
RNTX,2025-10-28,1,306050.0,423459.86,0,0,0,423459.86
RNTX,2025-11-14,1,104183.0,127103.26,0,0,0,127103.26
RNXT,2025-11-24,1,22000.0,17600.0,1,1,0,17600.0
RNXT,2025-12-18,4,32000.0,28550.0,1,1,0,7137.5
ROLR,2025-12-04,2,10541.0,20803.22,1,0,0,10401.61
ROLR,2025-12-19,2,12245.0,17922.93,1,0,0,8961.465
RRBI,2025-11-06,1,1046.0,68788.15,0,1,0,68788.15
RSG,2025-12-09,1,478.0,100121.88,0,1,0,100121.88
RYES,2025-05-08,1,121952.0,9756.16,1,0,0,9756.16
RYES,2025-10-24,3,7680000.0,1920000.0,1,1,0,640000.0
RZLT,2025-12-16,5,120250.0,202903.5,1,1,0,40580.7
S,2025-12-16,1,40000.0,595600.0,0,1,0,595600.0
SATA,2025-11-05,1,15625.0,1250000.0,0,0,0,1250000.0
SATA,2025-12-15,1,515195.19,416892.6839,1,1,0,416892.6839
SBUX,2025-11-10,1,11700.0,994500.0,0,1,0,994500.0
SCIIU,2025-11-28,1,510000.0,5100000.0,1,1,0,5100000.0
SCWO,2025-12-16,2,470000.0,107900.0,1,1,0,53950.0
SGC,2025-11-20,1,1000.0,8490.0,0,1,0,8490.0
SGHT,2025-12-16,1,13958.0,115990.98000000001,0,1,0,115990.98000000001
SGI,2025-12-02,1,32000.0,2988828.8400000003,0,1,0,2988828.8400000003
SND,2025-11-28,1,7658.0,22384.77,1,0,0,22384.77
SNEX,2025-12-16,1,1000.0,97250.0,1,1,0,97250.0
SNGX,2025-10-02,1,15132.0,19974.24,1,1,0,19974.24
SRRK,2025-10-03,1,387414.0,14438543.93,0,1,0,14438543.93
SRRK,2025-10-07,2,142624.0,5550441.93,0,1,0,2775220.965
SRTAW,2025-12-09,2,22000.0,97840.0,1,1,0,48920.0
SRTS,2025-11-21,7,40500.0,164639.36,1,1,0,23519.90857142857
SRV,2025-11-11,1,750.0,31867.5,0,1,0,31867.5
SRV,2025-12-18,3,730.0,29119.7,0,1,0,9706.566666666668
SRZNW,2025-12-04,4,641446.0,8163792.300000001,0,1,0,2040948.0750000002
SRZNW,2025-12-05,2,61768.0,1206946.72,0,1,0,603473.36
STRD,2025-10-17,1,23780.0,2316411.0,0,1,0,2316411.0
STRD,2025-11-21,1,1100.0,104808.0,0,1,0,104808.0
TCRX,2025-12-23,1,161801.0,145620.9,0,0,0,145620.9
TDG,2025-11-14,1,1954.0,2616672.75,1,1,0,2616672.75
TDOC,2025-11-14,1,10000.0,69400.0,0,1,0,69400.0
TDUP,2025-11-05,1,65000.0,522599.99999999994,0,1,0,522599.99999999994
TENX,2025-12-04,5,19591.0,153709.37,1,1,0,30741.874
TENX,2025-12-09,1,5000.0,50800.0,1,1,0,50800.0
TRINI,2025-11-19,5,18657.0,269419.04,1,1,0,53883.808
TRINI,2025-12-15,1,1500.0,22655.0,0,1,0,22655.0
TXO,2025-12-11,1,2000.0,23800.0,0,1,0,23800.0
TYG,2025-11-12,2,6000.0,280980.0,0,1,0,140490.0
UTG,2025-10-23,2,5400.0,204119.99999999997,0,0,0,102059.99999999999
WAFDP,2025-12-03,2,6000.0,100200.0,1,1,0,50100.0
WM,2025-11-03,1,2000.0,392840.0,0,1,0,392840.0
YHC,2025-12-17,1,2000000.0,1800000.0,1,1,0,1800000.0
YORW,2025-10-03,1,15.0,451.05,1,1,0,451.05
YORW,2025-10-16,7,477.55999999999995,13768.0548,1,1,0,1966.8649714285714
YORW,2025-11-13,1,30.0,963.3,1,1,0,963.3
YORW,2025-12-22,1,44.49,1500.2028,0,1,0,1500.2028
ZOMDF,2025-11-13,4,528007.0,47740.56,1,0,0,11935.14
ZONE,2025-12-01,1,18750.0,5625.0,1,1,0,5625.0
