ticker,cik,transaction_date,is_buy,shares,price_per_share,transaction_value,is_officer,is_director,is_ten_pct_owner,officer_title,ownership_type,accession_number,close,return_7td,excess_return_7td
LQDT,1235468,2025-11-24,0,5956.0,27.98,166648.88,1,0,0,SVP & Chief Technology Officer,D,0001782925-25-000008,28.780000686645508,0.03856840432661946,0.01589916092106549
LQDT,1235468,2025-11-24,0,946.0,28.26,26733.960000000003,1,0,0,SVP & Chief Technology Officer,D,0001782925-25-000008,28.780000686645508,0.03856840432661946,0.01589916092106549
LQDT,1235468,2025-11-24,0,591.0,28.26,16701.66,1,0,0,SVP & Chief Technology Officer,D,0001782925-25-000008,28.780000686645508,0.03856840432661946,0.01589916092106549
LQDT,1235468,2025-11-24,0,2388.0,27.96,66768.48,1,0,0,SVP & Chief Technology Officer,D,0001782925-25-000008,28.780000686645508,0.03856840432661946,0.01589916092106549
LQDT,1235468,2025-11-24,0,1282.0,28.26,36229.32,1,0,0,SVP & Chief Technology Officer,D,0001782925-25-000008,28.780000686645508,0.03856840432661946,0.01589916092106549
LQDT,1235468,2025-11-24,0,1719.0,28.54,49060.26,1,0,0,"VP, Gen. Counsel & Secretary",I,0001677053-25-000007,28.780000686645508,0.03856840432661946,0.01589916092106549
LQDT,1235468,2025-11-26,0,15114.0,30.24,457047.36,1,0,0,EVP & Chief Financial Officer,I,0001406206-25-000008,30.209999084472656,-0.002648127313157486,-0.00762417951988437
LQDT,1235468,2025-12-01,0,2451.0,30.01,73554.51000000001,1,0,0,EVP & Chief Financial Officer,I,0001406206-25-000008,29.84000015258789,0.06032168994156124,0.04945212939849247
LQDT,1235468,2025-12-10,0,717.0,31.45,22549.649999999998,1,0,0,SVP & Chief Technology Officer,D,0001782925-25-000012,31.639999389648438,-0.0031605080926079268,0.0044164628787978265
LQDT,1235468,2025-12-10,0,72.0,31.45,2264.4,1,0,0,SVP & Chief Technology Officer,D,0001782925-25-000012,31.639999389648438,-0.0031605080926079268,0.0044164628787978265
