ticker,transaction_date,num_buy_transactions,total_shares_bought,total_value_bought,has_officer_buy,has_director_buy,has_ten_pct_owner_buy,avg_transaction_value,close,return_7td,excess_return_7td,total_shares_count,shares_traded_pct,label_7td
GLBZ,2024-03-22,2,1200.0,6850.0,1,1,0,3425.0,5.256511211395264,-0.027372290418201578,-0.023037334294368238,2919695.0,0.04110018340956846,0
GLBZ,2024-04-04,1,400.0,2080.0,1,1,0,2080.0,5.0454840660095215,-0.00950577475201885,0.007083821819090763,2919695.0,0.013700061136522822,0
GLBZ,2024-05-28,2,1000.0,4400.0,1,1,0,2200.0,4.304967880249023,-0.047727380470819564,-0.056570118469323256,2919695.0,0.03425015284130706,0
GLBZ,2024-06-14,3,2041.0,7853.75,1,1,0,2617.9166666666665,3.854902744293213,-0.010152249101562939,-0.018676404756446018,2919695.0,0.0699045619491077,0
GLBZ,2024-11-27,1,3700.0,21830.0,1,1,0,21830.0,6.050000190734863,-0.008264494075791096,-0.017284698513246224,2919695.0,0.1267255655128361,0
GLBZ,2025-03-06,1,3000.0,14998.75,1,1,0,14998.75,5.0,0.015999984741210938,0.027048112503764044,2919695.0,0.10275045852392115,0
GLBZ,2025-05-21,3,4129.0,20877.87,1,1,0,6959.29,4.889999866485596,0.022494915443312787,0.006868538275046854,2919695.0,0.14141888108175682,0
GLBZ,2025-06-13,1,3000.0,14280.0,1,1,0,14280.0,4.599999904632568,0.03260871706026983,0.013336420685063403,2919695.0,0.10275045852392115,0
GLBZ,2025-12-08,1,900.0,3852.0,0,1,0,3852.0,4.230000019073486,0.044917271007974005,0.0631863736786151,2919695.0,0.030825137557176346,1
GLDD,2022-08-05,1,10000.0,96500.0,1,1,0,96500.0,9.819999694824219,0.07535649162825424,0.036755062943911065,68093291.0,0.014685734604896684,0
GLDD,2023-03-02,1,2000.0,11020.0,0,1,0,11020.0,5.559999942779541,-0.04316542690433626,-0.011620829014148792,68093291.0,0.002937146920979337,0
GLDD,2023-05-19,3,333788.0,2129696.7,0,1,0,709898.9,6.849999904632568,-0.07445251958321508,-0.07155415117488327,68093291.0,0.4901921982299255,0
GLDD,2025-03-04,1,3875.0,30031.25,1,0,0,30031.25,7.849999904632568,-0.0012738537791289041,0.043139996181462296,68093291.0,0.005690722159397465,0
GLGI,2023-02-01,1,5000.0,2300.0,1,1,0,2300.0,0.46000000834465027,0.13043472063789407,0.1374142143448516,27270271.0,0.018334984643166914,1
GLGI,2023-10-30,1,12000.0,12400.0,0,1,0,12400.0,1.0499999523162842,-0.038095203494807814,-0.08992368901805478,27270271.0,0.04400396314360059,0
GLGI,2025-05-23,1,38000.0,48360.0,0,1,0,48360.0,1.2999999523162842,0.030769294253470136,0.001819535435546301,27270271.0,0.13934588328806854,0
GLGI,2025-08-22,1,5000.0,6350.0,0,1,0,6350.0,1.25,-0.056000041961669925,-0.05311606952748121,27270271.0,0.018334984643166914,0
GLGI,2025-10-15,1,21600.0,24360.0,0,1,0,24360.0,1.0800000429153442,-0.07407411086706321,-0.0921566767191129,27270271.0,0.07920713365848106,0
GLGI,2025-11-11,1,5000.0,3550.0,1,1,0,3550.0,0.6899999976158142,-0.0724637856430378,-0.027499912455627606,27270271.0,0.018334984643166914,0
GLGI,2025-12-22,1,17500.0,10150.0,1,1,0,10150.0,0.550000011920929,0.07272720179282098,0.0756377270460518,27270271.0,0.06417244625108419,1
GLIBK,2025-08-21,2,198499.0,7120632.149999999,0,1,0,3560316.0749999997,37.849998474121094,-0.032232429463372354,-0.03935470685062072,35756905.0,0.5551347355147208,0
GLIBK,2025-09-18,4,75859.0,2671836.52,0,1,0,667959.13,35.599998474121094,0.011797809034960844,0.0073873481497498915,35756905.0,0.212152030495928,0
GLIBK,2025-09-26,3,5260.0,183947.53999999998,0,1,0,61315.84666666666,35.29999923706055,0.022379629818743522,0.011709424006699717,35756905.0,0.014710445437042162,0
GLIBK,2025-11-17,1,15000.0,511650.0,0,1,0,511650.0,34.099998474121094,-0.022287341804721052,-0.04329919565485134,35756905.0,0.0419499394592457,0
GLO,2023-02-08,3,62000.0,312102.0,0,0,0,104034.0,3.5100791454315186,-0.0025752701388006348,0.006839760162821123,42766222.0,0.14497422755744008,0
GLO,2023-05-05,1,5000.0,23900.0,0,0,0,23900.0,3.4501826763153076,-0.004193042484977833,0.002177485809068707,42766222.0,0.011691469964309684,0
GLO,2023-05-10,2,20000.0,95600.0,0,0,0,47800.0,3.4429495334625244,-0.004647603103351018,-0.017780655267015697,42766222.0,0.046765879857238735,0
GLO,2023-06-15,1,20000.0,98800.0,0,0,0,98800.0,3.6524910926818848,-0.008081446726813353,0.0026350927717811046,42766222.0,0.046765879857238735,0
GLO,2023-08-09,1,15000.0,75600.0,0,0,0,75600.0,3.716714859008789,-0.03867943821014672,-0.016744263174872997,42766222.0,0.03507440989292905,0
GLO,2024-02-12,1,20000.0,100800.0,0,0,0,100800.0,3.980311393737793,-0.004424774520390861,-0.017406060948189438,42766222.0,0.046765879857238735,0
GLO,2024-03-20,1,20000.0,100200.0,0,0,0,100200.0,4.0814714431762695,-0.0019800300626230654,-0.005645349629255732,42766222.0,0.046765879857238735,0
GLO,2024-05-02,1,50000.0,247000.00000000003,0,0,0,247000.00000000003,4.00670862197876,0.028513413046818294,-0.0025319091163981122,42766222.0,0.11691469964309684,0
GLO,2025-08-13,1,2300.0,12719.0,0,0,0,12719.0,5.1957316398620605,0.001775475005641855,0.0017244313131471805,42766222.0,0.005378076183582455,0
GLO,2025-09-05,1,8800.0,49456.0,0,0,0,49456.0,5.328207015991211,0.008896855753414605,-0.010428881440907695,42766222.0,0.020576987137185043,0
GLOO,2025-11-20,5,1037750.0,8302000.0,1,1,0,1660400.0,9.050000190734863,-0.1160221180779448,-0.16046637998373792,11290196.0,9.191603051001064,0
GLP-PB,2022-06-01,2,54920.0,1604960.3599999999,0,0,0,802480.1799999999,18.727956771850586,0.0002527792734846662,0.049108823436112614,,,0
GLP-PB,2022-06-24,3,42378.0,954362.3500000001,0,0,0,318120.7833333334,18.53468894958496,-0.01220898552767863,0.004832001929512003,,,0
GLP-PB,2022-08-25,1,1000.0,27850.0,0,1,0,27850.0,18.464096069335938,0.0010228806268764519,0.07030648473013562,,,1
GLP-PB,2022-09-16,1,1000.0,28450.0,0,1,0,28450.0,18.439559936523438,-0.019230753317252193,0.039127309255076105,,,0
GLP-PB,2022-11-25,3,10684.0,330568.2,0,0,0,110189.40000000001,18.9051456451416,-0.013338726264134626,0.007738664611415098,,,0
GLP-PB,2023-08-09,1,800.0,24792.0,0,1,0,24792.0,20.4506778717041,-0.0017032198615096281,0.020231955173764096,,,0
GLP-PB,2023-09-25,2,20415.0,674683.35,0,0,0,337341.675,20.34426498413086,0.0007818114963322643,0.017771082218628154,,,0
GLP-PB,2023-11-28,3,75000.0,2541400.0,0,0,0,847133.3333333334,20.6777286529541,0.023224335940544696,0.01648439137332722,,,0
GLP-PB,2023-12-08,1,8000.0,302240.0,0,0,0,302240.0,21.125391006469727,0.0005163514761792591,-0.03510198411066026,,,0
